ID,Rank,Name,GENDER,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,card
230621,18,Gianluigi Donnarumma,M,89,90,83,70,90,52,87,50,55,14,12,53,18,8,24,12,60,14,36,34,12,28,57,38,87,30,54,26,12,21,14,16,73,41,75,30,GK,3,1,Right,"196cm / 6'5""",90kg / 198lb,,26,Italy,Premier League,Manchester City,"['Deflector+', 'Footwork']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gianluigi-donnarumma/230621,90.0,83.0,70.0,87.0,90.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/230621_en.webp
212831,22,Alisson,M,89,86,85,86,89,56,90,60,49,13,13,65,14,20,23,17,66,18,60,58,19,27,40,37,87,42,66,11,29,15,19,16,82,32,78,27,GK,3,1,Right,"193cm / 6'4""",91kg / 201lb,,33,Brazil,Premier League,Liverpool,"['Rush Out+', 'Deflector', 'Far Throw']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alisson/212831,86.0,85.0,86.0,90.0,89.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/212831_en.webp
192119,28,Thibaut Courtois,M,89,85,89,76,90,46,88,42,52,13,14,57,17,12,27,14,44,20,33,35,19,13,63,45,88,23,66,15,13,20,18,16,68,38,70,23,GK,3,1,Left,"200cm / 6'7""",96kg / 212lb,,33,Belgium,LALIGA EA SPORTS,Real Madrid,"['Cross Claimer+', 'Far Throw', 'Rush Out']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/thibaut-courtois/192119,85.0,89.0,76.0,88.0,90.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/192119_en.webp
200389,43,Jan Oblak,M,88,85,90,78,87,46,86,42,53,11,11,59,12,13,11,13,67,14,43,40,13,12,64,48,85,30,68,24,15,27,14,18,72,42,78,36,GK,3,1,Right,"188cm / 6'2""",87kg / 192lb,,32,Slovenia,LALIGA EA SPORTS,Atlético de Madrid,"['Cross Claimer+', 'Far Reach', 'Far Throw']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jan-oblak/200389,85.0,90.0,78.0,86.0,87.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/200389_en.webp
177683,58,Yann Sommer,M,87,83,82,85,89,50,87,48,54,15,13,64,12,8,24,13,64,13,46,38,12,22,57,58,83,30,54,21,10,9,20,14,68,45,68,38,GK,4,1,Right,"183cm / 6'0""",77kg / 170lb,,36,Switzerland,Serie A Enilive,Lombardia FC,['Far Reach+'],https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yann-sommer/177683,83.0,82.0,85.0,87.0,89.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/177683_en.webp
215698,70,Mike Maignan,M,87,84,83,85,88,64,84,65,62,15,15,64,20,16,15,18,65,16,64,61,38,30,60,56,85,40,68,25,17,23,18,20,82,39,83,35,GK,4,1,Right,"191cm / 6'3""",89kg / 196lb,,30,France,Serie A Enilive,Milano FC,"['Far Throw+', 'Deflector', 'Footwork', 'Long Ball Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mike-maignan/215698,84.0,83.0,85.0,84.0,88.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/215698_en.webp
220901,74,David Raya,M,87,86,84,87,87,62,85,64,59,15,19,65,14,20,26,12,68,15,62,67,18,19,68,45,84,43,68,11,20,28,14,13,64,31,38,29,GK,3,1,Right,"183cm / 6'0""",75kg / 165lb,,30,Spain,Premier League,Arsenal,"['Cross Claimer+', 'Footwork']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/david-raya/220901,86.0,84.0,87.0,85.0,87.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/220901_en.webp
192448,101,Marc-André ter Stegen,M,86,84,84,89,85,47,84,45,50,11,14,67,10,14,25,18,70,12,61,63,18,21,39,43,84,30,70,22,11,25,13,10,72,35,78,43,GK,4,1,Right,"187cm / 6'2""",85kg / 187lb,,33,Germany,LALIGA EA SPORTS,FC Barcelona,"['Footwork', 'Long Ball Pass', 'Rush Out']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marc-andre-ter-stegen/192448,84.0,84.0,89.0,84.0,85.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/192448_en.webp
235073,103,Gregor Kobel,M,86,87,83,64,87,44,86,38,52,10,10,48,10,10,12,13,59,12,39,33,13,24,37,29,84,34,66,14,13,15,15,15,71,30,81,24,GK,3,1,Right,"195cm / 6'5""",88kg / 194lb,,27,Switzerland,Bundesliga,Borussia Dortmund,"['Rush Out+', 'Deflector', 'Far Throw']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gregor-kobel/235073,87.0,83.0,64.0,86.0,87.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/235073_en.webp
210257,104,Ederson,M,85,83,82,91,83,64,83,64,63,20,14,68,18,18,65,20,70,20,65,68,39,30,60,48,82,45,70,27,14,29,15,8,78,44,78,38,GK,3,1,Left,"188cm / 6'2""",86kg / 190lb,,32,Brazil,Trendyol Süper Lig,Fenerbahçe,"['Long Ball Pass+', 'Cross Claimer', 'Pinged Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ederson/210257,83.0,82.0,91.0,83.0,83.0,https://ratings-images-prod.pulse.ea.com/FC26/components/items/210257_en.webp
